ComplainantID,CaseMasterID,ComplainantName,AgeYear,Occupation,GenderID
COMP00077,CASE00077,Bahadurjit Doctor,23,Farmer,M
COMP00078,CASE00078,Reyansh Sheth,66,Government Employee,M
COMP00079,CASE00079,Vedika Amble,34,Homemaker,F
COMP00080,CASE00080,Vinaya Kant,63,Student,F
COMP00081,CASE00081,David Gopal,43,Student,M
COMP00082,CASE00082,Ekantika Krishna,44,Student,F
COMP00083,CASE00083,Chakradhar Raju,18,Unemployed,M
COMP00084,CASE00084,Lucky Basak,52,Unemployed,M
COMP00085,CASE00085,Jatin Munshi,19,Unemployed,M
COMP00086,CASE00086,Bakhshi Chauhan,49,Unemployed,M
COMP00087,CASE00087,Umang Batta,54,Unemployed,M
COMP00088,CASE00088,Parth Roy,31,Private Employee,M
COMP00089,CASE00089,Reyansh Dugar,41,Business,M
COMP00090,CASE00090,Inaya Jha,45,Business,F
COMP00091,CASE00091,Harsh Nath,19,Private Employee,M
COMP00092,CASE00092,Harish Pandya,19,Unemployed,M
COMP00093,CASE00093,Manthan Buch,44,Student,M
COMP00094,CASE00094,Hemani Goyal,54,Homemaker,F
COMP00095,CASE00095,Krisha Dutta,49,Private Employee,F
COMP00096,CASE00096,Krish Joshi,26,Homemaker,M
COMP00097,CASE00097,Warinder Vaidya,75,Private Employee,M
COMP00098,CASE00098,Anusha Viswanathan,68,Business,F
COMP00099,CASE00099,Abdul Singhal,48,Homemaker,M
COMP00100,CASE00100,Upkaar Bahl,55,Government Employee,M
COMP00101,CASE00101,Bina Raghavan,69,Student,F
COMP00102,CASE00102,Naksh Sarkar,20,Homemaker,M
COMP00103,CASE00103,Farhan Din,21,Homemaker,M
COMP00104,CASE00104,Chandran Nigam,33,Business,M
COMP00105,CASE00105,Ikbal Shukla,63,Student,M
COMP00106,CASE00106,Gabriel Mannan,29,Homemaker,M
COMP00107,CASE00107,Abhimanyu Anne,71,Private Employee,M
COMP00108,CASE00108,Omkaar Sani,68,Farmer,M
COMP00109,CASE00109,Simon Vaidya,66,Homemaker,M
COMP00110,CASE00110,Max Rajagopal,59,Private Employee,M
COMP00111,CASE00111,Om Kakar,66,Unemployed,M
COMP00112,CASE00112,Chandresh Chhabra,53,Homemaker,M
COMP00113,CASE00113,Teerth Korpal,42,Government Employee,M
COMP00114,CASE00114,Om Bhardwaj,40,Government Employee,M
COMP00115,CASE00115,Luke Verma,71,Farmer,M
COMP00116,CASE00116,Veer Sachar,23,Homemaker,M
COMP00117,CASE00117,Anthony Baria,46,Business,M
COMP00118,CASE00118,Abhiram Thaker,56,Private Employee,M
COMP00119,CASE00119,Ronith Choudhry,69,Business,M
COMP00120,CASE00120,Thomas Aggarwal,18,Homemaker,M
COMP00121,CASE00121,Wahab Vohra,50,Homemaker,M
COMP00122,CASE00122,Anmol Balan,73,Unemployed,M
COMP00123,CASE00123,Indrajit Biswas,40,Business,M
COMP00124,CASE00124,Parth Taneja,48,Farmer,M
COMP00125,CASE00125,Nidhi Korpal,42,Private Employee,F
COMP00126,CASE00126,Anay Varughese,21,Government Employee,M
COMP00127,CASE00127,Jeet Sharaf,31,Private Employee,M
COMP00128,CASE00128,Pranit Subramanian,36,Government Employee,M
COMP00129,CASE00129,Dev Varkey,34,Student,M
COMP00130,CASE00130,Gaurang Datta,56,Student,M
COMP00131,CASE00131,Finn Pradhan,63,Government Employee,M
COMP00132,CASE00132,Kalpit Malhotra,52,Farmer,M
COMP00133,CASE00133,Daksh Khatri,27,Government Employee,M
COMP00134,CASE00134,Azad Joshi,46,Unemployed,M
COMP00135,CASE00135,Nathan Chander,48,Unemployed,M
COMP00136,CASE00136,Yutika Pandya,75,Farmer,F
COMP00137,CASE00137,Kevin Shroff,32,Homemaker,M
COMP00138,CASE00138,Kalpit Din,46,Private Employee,M
COMP00139,CASE00139,David Sheth,40,Student,M
COMP00140,CASE00140,Laksh Zacharia,45,Government Employee,M
COMP00141,CASE00141,Atharv Sekhon,74,Government Employee,M
COMP00142,CASE00142,Owen Bahri,43,Student,M
COMP00143,CASE00143,Chakradev Bobal,62,Farmer,M
COMP00144,CASE00144,Veer Modi,75,Business,M
COMP00145,CASE00145,Varsha Sastry,56,Student,F
COMP00146,CASE00146,Omisha Arora,34,Homemaker,F
COMP00147,CASE00147,Kevin Kalita,67,Homemaker,M
COMP00148,CASE00148,Maanav Varghese,35,Unemployed,M
COMP00149,CASE00149,Zaid Shere,33,Private Employee,M
COMP00150,CASE00150,Radhika Bhavsar,63,Private Employee,F
COMP00151,CASE00151,Liam Rattan,40,Homemaker,M
COMP00152,CASE00152,Gagan Mannan,65,Student,M
COMP00153,CASE00153,Unnati Shankar,74,Homemaker,F
COMP00154,CASE00154,Ati Tank,66,Homemaker,F
COMP00155,CASE00155,Fariq Jayaraman,42,Student,M
COMP00156,CASE00156,Chanakya Batta,48,Private Employee,M
COMP00157,CASE00157,Jai Bhargava,73,Government Employee,M
COMP00158,CASE00158,Advaith Dhaliwal,73,Student,M
COMP00159,CASE00159,Daniel Aurora,40,Farmer,M
COMP00160,CASE00160,Kabir Subramaniam,46,Private Employee,M
COMP00161,CASE00161,Zaid Dasgupta,23,Farmer,M
COMP00162,CASE00162,Atharv Bal,48,Homemaker,M
COMP00163,CASE00163,Xavier Krishna,67,Government Employee,M
COMP00164,CASE00164,Jagdish Gandhi,55,Farmer,M
COMP00165,CASE00165,Eesha Ram,59,Unemployed,F
COMP00166,CASE00166,Balhaar De,72,Private Employee,M
COMP00167,CASE00167,Onkar Sarna,68,Student,M
COMP00168,CASE00168,Gunbir Ghose,40,Unemployed,M
COMP00169,CASE00169,Warjas Ghosh,33,Unemployed,M
COMP00170,CASE00170,Jatin Agarwal,34,Private Employee,M
COMP00171,CASE00171,Aarnav Banik,69,Private Employee,M
COMP00172,CASE00172,Maanas Sanghvi,45,Private Employee,M
COMP00173,CASE00173,Aarav Cheema,29,Government Employee,M
COMP00174,CASE00174,Pallavi Baria,26,Student,F
COMP00175,CASE00175,Vincent Kapadia,20,Unemployed,M
COMP00176,CASE00176,William Kannan,60,Homemaker,M
COMP00177,CASE00177,Michael Sami,20,Private Employee,M
COMP00178,CASE00178,Balveer Chadha,72,Business,M
COMP00179,CASE00179,Nathan Palla,22,Farmer,M
COMP00180,CASE00180,Chanakya Yohannan,70,Private Employee,M
COMP00181,CASE00181,Victor Dey,66,Unemployed,M
COMP00182,CASE00182,Warjas Sanghvi,44,Farmer,M
COMP00183,CASE00183,Fitan Saraf,62,Homemaker,M
COMP00184,CASE00184,Lakshit Biswas,54,Business,M
COMP00185,CASE00185,Lohit Walia,71,Private Employee,M
COMP00186,CASE00186,Omaja Luthra,23,Business,T
COMP00187,CASE00187,Qarin Dhaliwal,74,Private Employee,M
COMP00188,CASE00188,Avi Sheth,65,Student,M
COMP00189,CASE00189,Turvi Samra,35,Student,F
COMP00190,CASE00190,Frederick Baria,37,Unemployed,M
COMP00191,CASE00191,Champak Sood,46,Student,M
COMP00192,CASE00192,Triya Patla,50,Unemployed,F
COMP00193,CASE00193,Atharv Reddy,44,Business,M
COMP00194,CASE00194,Timothy Pant,18,Private Employee,M
COMP00195,CASE00195,Rishi Mand,64,Business,M
COMP00196,CASE00196,Finn Shetty,60,Unemployed,M
COMP00197,CASE00197,Hemangini Babu,71,Student,F
COMP00198,CASE00198,Falan Shetty,27,Unemployed,M
COMP00199,CASE00199,Lakshit Bera,65,Private Employee,M
COMP00200,CASE00200,Manan Yohannan,41,Student,M
COMP00201,CASE00201,Nakul Oza,56,Business,M
COMP00202,CASE00202,Timothy Venkataraman,51,Unemployed,M
COMP00203,CASE00203,Advay Grover,35,Unemployed,M
COMP00204,CASE00204,Amol Mander,32,Unemployed,M
COMP00205,CASE00205,Tanish Varkey,64,Government Employee,M
COMP00206,CASE00206,Sarthak Muni,29,Student,M
COMP00207,CASE00207,Faqid Kohli,36,Homemaker,M
COMP00208,CASE00208,Daksh Parsa,35,Homemaker,M
COMP00209,CASE00209,Akshay Mall,33,Business,M
COMP00210,CASE00210,Tristan Karan,29,Government Employee,M
COMP00211,CASE00211,Faras Sarma,21,Private Employee,M
COMP00212,CASE00212,Qabil Warrior,74,Farmer,M
COMP00213,CASE00213,Parth Wadhwa,42,Farmer,M
COMP00214,CASE00214,Indrajit Seshadri,37,Student,M
COMP00215,CASE00215,Veda Chana,31,Business,F
COMP00216,CASE00216,Bakhshi Morar,23,Private Employee,M
COMP00217,CASE00217,Laksh Bir,65,Business,M
COMP00218,CASE00218,Balveer Aurora,34,Student,M
COMP00219,CASE00219,Rudra Dhingra,37,Homemaker,M
COMP00220,CASE00220,Rushil Sandal,30,Private Employee,M
COMP00221,CASE00221,Indrajit Sandhu,36,Farmer,M
COMP00222,CASE00222,Zayan Sunder,75,Unemployed,M
COMP00223,CASE00223,Yashawini Bhavsar,28,Unemployed,F
COMP00224,CASE00224,Elijah Sarma,50,Student,M
COMP00225,CASE00225,Victor Dugal,71,Private Employee,M
COMP00226,CASE00226,Ekta Sarma,52,Unemployed,T
COMP00227,CASE00227,Robert Nagarajan,66,Homemaker,M
COMP00228,CASE00228,Zaid Lata,37,Homemaker,M
COMP00229,CASE00229,Niharika Mand,48,Private Employee,F
COMP00230,CASE00230,Jonathan Dhar,23,Government Employee,M
COMP00231,CASE00231,Bhavna Palla,22,Business,F
COMP00232,CASE00232,Azad Sarin,18,Government Employee,M
COMP00233,CASE00233,Girik Oza,41,Government Employee,M
COMP00234,CASE00234,Faraj Bedi,44,Homemaker,M
COMP00235,CASE00235,Girish Vyas,70,Farmer,M
COMP00236,CASE00236,Samar Brahmbhatt,57,Business,M
COMP00237,CASE00237,Gaurav Sani,41,Unemployed,M
COMP00238,CASE00238,Pranav Narasimhan,25,Student,M
COMP00239,CASE00239,Vihaan Nadkarni,38,Private Employee,M
COMP00240,CASE00240,Odika Kara,69,Business,F
COMP00241,CASE00241,Elijah Walla,54,Business,M
COMP00242,CASE00242,Elijah Pillai,74,Unemployed,M
COMP00243,CASE00243,Falak Raja,22,Government Employee,F
COMP00244,CASE00244,Kavya Butala,53,Student,F
COMP00245,CASE00245,Gautam Bhatt,69,Business,M
COMP00246,CASE00246,Mekhala Om,73,Farmer,F
COMP00247,CASE00247,George Loke,40,Homemaker,M
COMP00248,CASE00248,Girish Sarin,31,Business,M
COMP00249,CASE00249,Ekaraj Srinivasan,72,Farmer,M
COMP00250,CASE00250,Wyatt Rajagopal,37,Business,M
COMP00251,CASE00251,Lucky Mitra,54,Farmer,M
COMP00252,CASE00252,Warjas Raman,63,Homemaker,M
COMP00253,CASE00253,Karan Wali,21,Government Employee,M
COMP00254,CASE00254,Zaitra Bail,22,Homemaker,F
COMP00255,CASE00255,Advik Dave,42,Government Employee,M
COMP00256,CASE00256,Aryan Bali,63,Business,M
COMP00257,CASE00257,Garima Manda,29,Private Employee,F
COMP00258,CASE00258,Isha Kalla,24,Unemployed,F
COMP00259,CASE00259,Charan Ramanathan,41,Business,M
COMP00260,CASE00260,Samaksh Contractor,71,Government Employee,M
COMP00261,CASE00261,Mohini Amble,72,Farmer,F
COMP00262,CASE00262,Upadhriti Sami,65,Farmer,F
COMP00263,CASE00263,Champak Sangha,50,Private Employee,M
COMP00264,CASE00264,Ekapad Roy,75,Government Employee,M
COMP00265,CASE00265,Dev Dhar,23,Private Employee,M
COMP00266,CASE00266,Warinder Khalsa,23,Government Employee,M
COMP00267,CASE00267,Teerth Parmar,39,Unemployed,M
COMP00268,CASE00268,Patrick Reddy,30,Homemaker,M
COMP00269,CASE00269,Robert Chokshi,22,Private Employee,M
COMP00270,CASE00270,Neel Jhaveri,30,Farmer,M
COMP00271,CASE00271,Mohini Srinivasan,36,Farmer,F
COMP00272,CASE00272,Vihaan Raman,52,Farmer,M
COMP00273,CASE00273,Gavin Bali,24,Farmer,M
COMP00274,CASE00274,Victor Sen,74,Unemployed,M
COMP00275,CASE00275,Logan Rau,57,Business,M
COMP00276,CASE00276,Madhav Sami,67,Private Employee,M
COMP00277,CASE00277,Amol Halder,44,Unemployed,M
COMP00278,CASE00278,Krisha Ratta,45,Government Employee,F
COMP00279,CASE00279,Sai Bhatnagar,37,Private Employee,M
COMP00280,CASE00280,Mekhala Kota,37,Farmer,F
COMP00281,CASE00281,Leela Shan,65,Government Employee,F
COMP00282,CASE00282,Devansh Das,24,Government Employee,M
COMP00283,CASE00283,Wriddhish Kurian,57,Homemaker,M
COMP00284,CASE00284,Pooja Pau,35,Private Employee,F
COMP00285,CASE00285,Ikbal Bose,44,Private Employee,M
COMP00286,CASE00286,Abeer Char,57,Unemployed,M
COMP00287,CASE00287,Gauri Varma,19,Student,F
COMP00288,CASE00288,Bhavini Dani,62,Unemployed,F
COMP00289,CASE00289,Wyatt Rai,59,Student,M
COMP00290,CASE00290,Girik Viswanathan,23,Farmer,M
COMP00291,CASE00291,Wazir Balakrishnan,66,Homemaker,M
COMP00292,CASE00292,Ikshita Dhar,64,Business,F
COMP00293,CASE00293,Nihal Vasa,28,Unemployed,M
COMP00294,CASE00294,Qadim Nagar,69,Unemployed,M
COMP00295,CASE00295,Viraj Banik,52,Government Employee,M
COMP00296,CASE00296,Kai Deol,50,Government Employee,M
COMP00297,CASE00297,Advaith Kuruvilla,23,Unemployed,M
COMP00298,CASE00298,Xalak Virk,40,Unemployed,F
COMP00299,CASE00299,Qarin Singhal,59,Homemaker,M
COMP00300,CASE00300,Ronith Ben,57,Business,M
COMP00301,CASE00301,Ekaraj Soni,27,Farmer,M
COMP00302,CASE00302,Teerth Wali,58,Private Employee,M
COMP00303,CASE00303,Qabil Mukherjee,69,Unemployed,M
COMP00304,CASE00304,Arjun Bala,18,Farmer,M
COMP00305,CASE00305,Aarush Sood,32,Government Employee,M
COMP00306,CASE00306,Jonathan Sidhu,58,Unemployed,M
COMP00307,CASE00307,Brinda Kapadia,58,Private Employee,F
COMP00308,CASE00308,Agastya Sem,66,Government Employee,M
COMP00309,CASE00309,Anirudh Solanki,47,Farmer,M
COMP00310,CASE00310,Lucky Naik,28,Government Employee,M
COMP00311,CASE00311,Joshua Ratti,59,Unemployed,M
COMP00312,CASE00312,Hardik Nair,72,Private Employee,M
COMP00313,CASE00313,Ekavir Badami,57,Student,M
COMP00314,CASE00314,Joshua Chander,34,Homemaker,M
COMP00315,CASE00315,Fitan Wason,47,Farmer,M
COMP00316,CASE00316,William Date,40,Farmer,M
COMP00317,CASE00317,Timothy Master,29,Unemployed,M
COMP00318,CASE00318,Aishani Narayan,39,Unemployed,F
COMP00319,CASE00319,Darika Dash,74,Homemaker,T
COMP00320,CASE00320,Daniel Raman,63,Government Employee,M
COMP00321,CASE00321,Gautami Singhal,51,Student,F
COMP00322,CASE00322,Faqid Aurora,42,Farmer,M
COMP00323,CASE00323,Harrison Bera,19,Government Employee,M
COMP00324,CASE00324,Ekani Savant,71,Government Employee,F
COMP00325,CASE00325,Hritik Mangat,44,Homemaker,M
COMP00326,CASE00326,Dhruv Yogi,37,Student,M
COMP00327,CASE00327,Yuvraj Tella,69,Student,M
COMP00328,CASE00328,Maanav Thakur,56,Private Employee,M
COMP00329,CASE00329,Ranbir Pai,55,Farmer,M
COMP00330,CASE00330,Henry Dubey,23,Unemployed,M
COMP00331,CASE00331,Ishaan Sarkar,64,Business,M
COMP00332,CASE00332,Upkaar Wagle,45,Student,M
COMP00333,CASE00333,Gayathri Mand,34,Government Employee,F
COMP00334,CASE00334,Qasim Gopal,75,Student,M
COMP00335,CASE00335,Parth Salvi,71,Private Employee,M
COMP00336,CASE00336,David Sinha,26,Government Employee,M
COMP00337,CASE00337,Victor Bajwa,49,Business,M
COMP00338,CASE00338,Gautam Rajagopal,50,Student,M
COMP00339,CASE00339,Manbir Rao,42,Private Employee,M
COMP00340,CASE00340,Advik Raval,57,Business,M
COMP00341,CASE00341,Urvi Guha,22,Government Employee,F
COMP00342,CASE00342,Hitesh Ahuja,21,Student,M
COMP00343,CASE00343,Kai Bobal,74,Government Employee,M
COMP00344,CASE00344,Ikshita Lalla,19,Farmer,F
COMP00345,CASE00345,Bhavya Gera,69,Unemployed,T
COMP00346,CASE00346,Ekanta Agrawal,53,Student,F
COMP00347,CASE00347,Bachittar Oza,35,Student,M
COMP00348,CASE00348,Aashi Kuruvilla,35,Unemployed,F
COMP00349,CASE00349,Liam Palla,75,Farmer,M
COMP00350,CASE00350,Vedant Badal,57,Farmer,M
COMP00351,CASE00351,Abhimanyu Basu,19,Government Employee,M
COMP00352,CASE00352,Aarnav Madan,66,Unemployed,M
COMP00353,CASE00353,Wriddhish Tak,72,Business,M
COMP00354,CASE00354,Simon Madan,66,Private Employee,M
COMP00355,CASE00355,Manbir Kuruvilla,53,Government Employee,M
COMP00356,CASE00356,Hemani Gera,54,Private Employee,F
COMP00357,CASE00357,Faris Chandra,55,Unemployed,M
COMP00358,CASE00358,Kalpit Dutt,34,Student,M
COMP00359,CASE00359,Nisha Srinivasan,64,Farmer,F
COMP00360,CASE00360,Turvi Murthy,32,Private Employee,F
COMP00361,CASE00361,Dominic Deep,53,Government Employee,M
COMP00362,CASE00362,George Mann,74,Farmer,M
COMP00363,CASE00363,Amara Pathak,44,Student,F
COMP00364,CASE00364,Darpan Balay,21,Homemaker,M
COMP00365,CASE00365,Daksh Pai,64,Government Employee,M
COMP00366,CASE00366,Tarak Menon,64,Student,M
COMP00367,CASE00367,Jagat Kara,69,Business,M
COMP00368,CASE00368,Indrajit Chand,50,Homemaker,M
COMP00369,CASE00369,Udant Ramachandran,70,Unemployed,M
COMP00370,CASE00370,Dev Guha,67,Student,M
COMP00371,CASE00371,Indali Pal,39,Student,F
COMP00372,CASE00372,Ronith Anand,27,Business,M
COMP00373,CASE00373,Forum Badal,41,Homemaker,F
COMP00374,CASE00374,Bakhshi Yogi,60,Business,M
COMP00375,CASE00375,Wahab Ratta,73,Government Employee,M
COMP00376,CASE00376,Isaiah Bhasin,28,Unemployed,M
COMP00377,CASE00377,Anthony Dhingra,18,Homemaker,M
COMP00378,CASE00378,Warjas Sami,51,Government Employee,M
COMP00379,CASE00379,Advaith Shankar,41,Government Employee,M
COMP00380,CASE00380,Aadi Bahri,75,Business,M
COMP00381,CASE00381,Yug Natarajan,45,Business,M
COMP00382,CASE00382,Ekavir Chaudhry,61,Homemaker,M
COMP00383,CASE00383,Baljiwan Samra,44,Unemployed,M
COMP00384,CASE00384,Nitesh Zacharia,19,Business,M
COMP00385,CASE00385,Gaurika Vig,35,Private Employee,F
COMP00386,CASE00386,Januja Chatterjee,32,Student,F
COMP00387,CASE00387,Yashawini Lad,64,Private Employee,F
COMP00388,CASE00388,Chanakya Suresh,71,Business,M
COMP00389,CASE00389,Faqid Kumer,27,Farmer,M
COMP00390,CASE00390,Lakshit Sarkar,58,Government Employee,M
COMP00391,CASE00391,Bachittar Sarna,48,Private Employee,M
COMP00392,CASE00392,Vritti Goswami,61,Homemaker,F
COMP00393,CASE00393,Aadi Sodhi,56,Unemployed,M
COMP00394,CASE00394,Gaurang Singh,50,Unemployed,M
COMP00395,CASE00395,Rayaan Banik,35,Business,M
COMP00396,CASE00396,Atharv Nadkarni,35,Farmer,M
COMP00397,CASE00397,Rajata Aurora,22,Unemployed,F
COMP00398,CASE00398,Maanas Madan,51,Student,M
COMP00399,CASE00399,Jackson Reddy,28,Student,M
COMP00400,CASE00400,Ojas Borah,66,Farmer,M
COMP00401,CASE00401,Kamya Sodhi,59,Farmer,F
COMP00402,CASE00402,Oeshi Ray,57,Student,F
COMP00403,CASE00403,Ryan Radhakrishnan,39,Government Employee,M
COMP00404,CASE00404,Vedant Yohannan,44,Private Employee,M
COMP00405,CASE00405,Kamala Lall,22,Homemaker,F
COMP00406,CASE00406,Dalbir Bhalla,59,Student,M
COMP00407,CASE00407,Gunbir Sha,25,Business,M
COMP00408,CASE00408,Nicholas Vig,51,Business,M
COMP00409,CASE00409,Jeremiah Sethi,64,Farmer,M
COMP00410,CASE00410,Isha Basak,21,Business,F
COMP00411,CASE00411,Upma Keer,40,Unemployed,F
COMP00412,CASE00412,Champak Lata,29,Farmer,M
COMP00413,CASE00413,Janya Subramanian,43,Homemaker,F
COMP00414,CASE00414,Rehaan Sinha,20,Farmer,M
COMP00415,CASE00415,Harrison Kant,38,Business,M
COMP00416,CASE00416,Tristan Basu,58,Government Employee,M
COMP00417,CASE00417,Vedant Tandon,35,Government Employee,M
COMP00418,CASE00418,Liam Rout,35,Homemaker,M
COMP00419,CASE00419,Balveer Deshmukh,65,Government Employee,M
COMP00420,CASE00420,Chatura Bhattacharyya,60,Business,M
COMP00421,CASE00421,Chatura Pandit,42,Student,M
COMP00422,CASE00422,Frederick Shetty,54,Unemployed,M
COMP00423,CASE00423,Samar Mahal,34,Student,M
COMP00424,CASE00424,Max Bajaj,21,Farmer,M
COMP00425,CASE00425,Brinda Savant,73,Business,F
COMP00426,CASE00426,Nandini Keer,35,Farmer,F
COMP00427,CASE00427,Triveni Rai,30,Private Employee,F
COMP00428,CASE00428,Laksh Nair,22,Homemaker,M
COMP00429,CASE00429,Anika Rege,73,Government Employee,F
COMP00430,CASE00430,Maanav Ray,33,Private Employee,M
COMP00431,CASE00431,Jalsa Ahluwalia,51,Student,F
COMP00432,CASE00432,Jatin Mammen,65,Student,M
COMP00433,CASE00433,Theodore Soni,40,Private Employee,M
COMP00434,CASE00434,Ryan Borra,44,Farmer,M
COMP00435,CASE00435,Max Sehgal,55,Government Employee,M
COMP00436,CASE00436,Brinda Maharaj,20,Business,F
COMP00437,CASE00437,Pooja Sami,49,Homemaker,F
COMP00438,CASE00438,Veer Batta,65,Homemaker,M
COMP00439,CASE00439,Urvashi Deshpande,58,Unemployed,T
COMP00440,CASE00440,Mohammed Brahmbhatt,26,Farmer,M
COMP00441,CASE00441,Christopher Randhawa,65,Government Employee,M
COMP00442,CASE00442,William Desai,62,Homemaker,M
COMP00443,CASE00443,Turvi Bhakta,57,Business,F
COMP00444,CASE00444,Maanas More,56,Unemployed,M
COMP00445,CASE00445,Sathvik Mangal,51,Homemaker,M
COMP00446,CASE00446,Edhitha Nigam,44,Student,F
COMP00447,CASE00447,Mason Ram,61,Government Employee,M
COMP00448,CASE00448,Yashasvi Acharya,41,Unemployed,F
COMP00449,CASE00449,Wyatt Narayan,23,Private Employee,M
COMP00450,CASE00450,Wakeeta Goda,64,Homemaker,F
COMP00451,CASE00451,Bhavani Datta,71,Unemployed,F
COMP00452,CASE00452,Elijah Tank,33,Homemaker,M
COMP00453,CASE00453,Vedant Parmer,49,Student,M
COMP00454,CASE00454,Alexander Hari,38,Business,M
COMP00455,CASE00455,Patrick Sarma,28,Student,M
COMP00456,CASE00456,Tanay Raval,34,Government Employee,M
COMP00457,CASE00457,Mahika Mishra,41,Student,F
COMP00458,CASE00458,Victor Wagle,50,Private Employee,M
COMP00459,CASE00459,Ayush Johal,43,Farmer,M
COMP00460,CASE00460,Maanav Dasgupta,57,Homemaker,M
COMP00461,CASE00461,Harini Pathak,71,Student,F
COMP00462,CASE00462,Indira D’Alia,23,Unemployed,F
COMP00463,CASE00463,Krishna Varma,54,Unemployed,F
COMP00464,CASE00464,Yash Ganesan,24,Business,M
COMP00465,CASE00465,Wyatt Deo,47,Student,M
