VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
VIC00129,CASE00105,Hardik Ravi,5,M,0
VIC00130,CASE00105,Alexander Joshi,25,M,0
VIC00131,CASE00106,Eesha Deshpande,12,F,0
VIC00132,CASE00107,Advay Kulkarni,31,M,0
VIC00133,CASE00107,Balhaar Kapoor,41,M,0
VIC00134,CASE00108,Charles Pillai,27,M,0
VIC00135,CASE00109,Gunbir Wagle,65,M,0
VIC00136,CASE00109,Lekha Mangal,72,F,0
VIC00137,CASE00110,Nicholas Venkataraman,49,M,0
VIC00138,CASE00111,Siddharth Ray,62,M,0
VIC00139,CASE00112,Chandran Barad,40,M,0
VIC00140,CASE00113,Yashasvi Sandal,39,F,0
VIC00141,CASE00113,Praneel Gara,33,M,0
VIC00142,CASE00114,Ladli Natt,7,F,0
VIC00143,CASE00114,Ekanta Wali,67,F,0
VIC00144,CASE00115,Qadim Din,75,M,0
VIC00145,CASE00115,Joshua Ramakrishnan,23,M,0
VIC00146,CASE00116,Brijesh Baria,52,M,0
VIC00147,CASE00117,Onveer Mangal,39,M,0
VIC00148,CASE00118,Quincy Krishnamurthy,7,M,0
VIC00149,CASE00119,Darpan Datta,18,M,0
VIC00150,CASE00120,Yashasvi Ghose,37,F,0
VIC00151,CASE00121,Kabir Rau,76,M,0
VIC00152,CASE00122,Balveer Rajagopalan,72,M,0
VIC00153,CASE00123,Onkar Mahal,7,M,0
VIC00154,CASE00124,Harsh Mittal,75,M,0
VIC00155,CASE00125,Jack Shukla,5,M,0
VIC00156,CASE00125,Robert Guha,28,M,0
VIC00157,CASE00126,Wriddhish Lala,59,M,0
VIC00158,CASE00127,Nachiket Bava,39,M,0
VIC00159,CASE00128,Gaurav Naik,77,M,0
VIC00160,CASE00129,Dev Sibal,65,M,0
VIC00161,CASE00130,Zilmil Merchant,46,F,0
VIC00162,CASE00131,Chaman Dasgupta,50,F,0
VIC00163,CASE00132,Harshil Kurian,73,M,0
VIC00164,CASE00132,Veer Mistry,34,M,0
VIC00165,CASE00133,Leela Wadhwa,7,F,0
VIC00166,CASE00133,Azaan Yadav,18,M,0
VIC00167,CASE00134,Hredhaan Garde,10,M,0
VIC00168,CASE00135,Rayaan Ramesh,73,M,0
VIC00169,CASE00136,Bachittar Nadkarni,75,M,0
VIC00170,CASE00137,Zashil Mishra,33,M,0
VIC00171,CASE00137,Abhiram Uppal,32,M,0
VIC00172,CASE00138,Alexander Biswas,37,M,0
VIC00173,CASE00139,Vaishnavi Varma,57,F,0
VIC00174,CASE00140,Garima Goswami,80,T,0
VIC00175,CASE00141,Ekani Pandit,16,F,0
VIC00176,CASE00141,Pratyush Bhatti,35,M,0
VIC00177,CASE00142,Chakradhar Choudhary,37,M,0
VIC00178,CASE00143,Girindra Shah,40,M,0
VIC00179,CASE00144,Rehaan Sibal,5,M,0
VIC00180,CASE00145,Oviya Zacharia,32,F,0
VIC00181,CASE00145,Vasana Bahri,47,F,0
VIC00182,CASE00146,Saksham Rajan,79,M,0
VIC00183,CASE00147,Harita Tak,40,F,0
VIC00184,CASE00148,Imaran Sandhu,49,M,0
VIC00185,CASE00149,Dev Golla,76,M,0
VIC00186,CASE00150,Girish Chowdhury,17,M,0
VIC00187,CASE00151,Onveer Puri,29,M,0
VIC00188,CASE00152,Lopa Kulkarni,34,F,0
VIC00189,CASE00153,Logan Ahuja,30,M,0
VIC00190,CASE00154,Yatan Dash,42,M,0
VIC00191,CASE00155,Aarush Wali,62,M,0
VIC00192,CASE00155,Rayaan Choudhry,22,M,0
VIC00193,CASE00156,Gaurang Kari,31,M,0
VIC00194,CASE00157,Dalbir Wable,43,M,0
VIC00195,CASE00158,Jeremiah Narang,13,M,0
VIC00196,CASE00158,Nitara Ratta,25,F,0
VIC00197,CASE00159,Imaran Vora,26,M,0
VIC00198,CASE00159,Fariq Rattan,73,M,0
VIC00199,CASE00160,George Mishra,58,M,0
VIC00200,CASE00161,Gautam Pillai,25,M,0
VIC00201,CASE00162,Utkarsh Krishna,58,M,0
VIC00202,CASE00163,Isaiah Kashyap,26,M,0
VIC00203,CASE00164,Baljiwan Narain,76,M,0
VIC00204,CASE00165,Harinakshi Bhatti,25,F,0
VIC00205,CASE00166,Harita Patla,59,F,0
VIC00206,CASE00167,Matthew Dube,61,M,0
VIC00207,CASE00168,Banjeet Sachdeva,32,M,0
VIC00208,CASE00169,Orinder Pillai,42,M,0
VIC00209,CASE00170,Girik Kota,64,M,0
VIC00210,CASE00170,Wishi Contractor,79,F,0
VIC00211,CASE00171,Anya Venkatesh,21,F,0
VIC00212,CASE00172,Vincent Sawhney,73,M,0
VIC00213,CASE00173,Sathvik De,55,M,0
VIC00214,CASE00174,Aayush Pandey,28,M,0
VIC00215,CASE00175,Yahvi Muni,35,F,0
VIC00216,CASE00176,Viraj Rana,74,M,0
VIC00217,CASE00177,Aayush Jain,75,M,0
VIC00218,CASE00178,Gautam Krish,73,M,0
VIC00219,CASE00179,Rishi Wali,47,M,0
VIC00220,CASE00180,Ucchal Kala,10,F,0
VIC00221,CASE00181,Indrajit Cheema,31,M,0
VIC00222,CASE00181,Krish Kamdar,33,M,0
VIC00223,CASE00182,Teerth Dhaliwal,61,M,0
VIC00224,CASE00183,Faris Khosla,74,M,0
VIC00225,CASE00184,Max Natt,46,M,0
VIC00226,CASE00185,Vedant Ahuja,40,M,0
VIC00227,CASE00185,Ria Balasubramanian,48,T,0
VIC00228,CASE00186,Jacob Dixit,6,M,0
VIC00229,CASE00187,Fiyaz Arora,8,M,0
VIC00230,CASE00188,Ayushman Lata,26,M,0
VIC00231,CASE00189,Kai Kothari,29,M,0
VIC00232,CASE00190,Kashvi Ratta,17,F,0
VIC00233,CASE00190,Harish Dugar,73,M,0
VIC00234,CASE00191,Ayaan Rastogi,8,M,0
VIC00235,CASE00192,Anamika Zacharia,45,F,0
VIC00236,CASE00193,Gaurav Choudhury,69,M,0
VIC00237,CASE00193,Ishwar Pillay,42,M,0
VIC00238,CASE00194,Sarthak Bansal,74,M,0
VIC00239,CASE00195,Faras Shankar,78,M,0
VIC00240,CASE00196,Vedant Gour,71,M,0
VIC00241,CASE00196,Chaaya Bajaj,14,F,0
VIC00242,CASE00197,Ansh Butala,41,M,0
VIC00243,CASE00198,Onveer Sur,65,M,0
VIC00244,CASE00199,Falan Chokshi,64,M,0
VIC00245,CASE00200,Yash Vaidya,11,M,0
VIC00246,CASE00201,Ekapad Atwal,36,M,0
VIC00247,CASE00202,Girindra Mitter,48,M,0
VIC00248,CASE00202,Avi Keer,71,M,0
VIC00249,CASE00203,Zashil Seth,56,M,0
VIC00250,CASE00204,Warjas Karan,35,M,0
VIC00251,CASE00204,Dev Soni,39,M,0
VIC00252,CASE00205,Shivani Sengupta,52,T,0
VIC00253,CASE00206,Chakradev Taneja,26,M,0
VIC00254,CASE00207,Karan Bhatia,75,M,0
VIC00255,CASE00207,Advay Halder,65,M,0
VIC00256,CASE00208,Finn Kuruvilla,35,M,0
VIC00257,CASE00209,Ryan Kulkarni,76,M,0
VIC00258,CASE00209,Sathvik Sachar,50,M,0
VIC00259,CASE00210,Zaid Mann,72,M,0
VIC00260,CASE00211,Samarth Chaudhari,12,M,0
VIC00261,CASE00212,Triveni Kanda,20,F,0
VIC00262,CASE00213,Veer Thaman,72,M,0
VIC00263,CASE00213,Caleb Chahal,76,M,0
VIC00264,CASE00214,Balendra Peri,38,M,0
VIC00265,CASE00215,Abhimanyu Pathak,65,M,0
VIC00266,CASE00216,Bhavika Mall,36,F,0
VIC00267,CASE00216,Ekalinga Kant,53,M,0
VIC00268,CASE00217,Abeer Sangha,13,M,0
VIC00269,CASE00218,Aryan Srinivasan,24,M,0
VIC00270,CASE00218,Krishna Jain,23,M,0
VIC00271,CASE00219,Kiaan Pall,42,M,0
VIC00272,CASE00219,Yuvraj Andra,71,M,0
VIC00273,CASE00220,Banjeet Karnik,25,M,0
VIC00274,CASE00221,Rachit Murthy,58,M,0
VIC00275,CASE00222,David Chakrabarti,72,M,0
VIC00276,CASE00223,Gunbir Saxena,44,M,0
VIC00277,CASE00223,Pushti Kulkarni,37,F,0
VIC00278,CASE00224,Orinder Varghese,10,M,0
VIC00279,CASE00225,Vihaan Krishna,54,M,0
VIC00280,CASE00225,Wahab Shroff,52,M,0
VIC00281,CASE00226,Krisha Wali,10,F,0
VIC00282,CASE00227,Rehaan Savant,34,M,0
VIC00283,CASE00228,Nathan Dalal,28,M,0
VIC00284,CASE00229,Advay Sachdeva,7,M,0
VIC00285,CASE00230,Hemang Gupta,44,M,0
VIC00286,CASE00231,Januja Chawla,42,F,0
VIC00287,CASE00231,Laksh Sachdev,72,M,0
VIC00288,CASE00232,Bahadurjit Jain,18,M,0
VIC00289,CASE00233,Rishi Patla,69,M,0
VIC00290,CASE00234,Vansha Balasubramanian,40,F,0
VIC00291,CASE00235,Chandresh Kaur,22,M,0
VIC00292,CASE00236,Laksh Sen,12,M,0
VIC00293,CASE00236,Chandran Mangal,48,M,0
VIC00294,CASE00237,Warinder More,12,M,0
VIC00295,CASE00238,Thomas Lala,32,M,0
VIC00296,CASE00239,Sneha Murty,50,F,0
VIC00297,CASE00240,Irya Kanda,37,F,0
VIC00298,CASE00241,Rajata Banik,20,F,0
VIC00299,CASE00242,Gavin Koshy,23,M,0
VIC00300,CASE00242,Zinal Chauhan,16,F,0
VIC00301,CASE00243,Kalpit Murthy,63,M,0
VIC00302,CASE00244,Wriddhish Madan,20,M,0
VIC00303,CASE00244,Aadi Balay,30,M,0
VIC00304,CASE00245,Balhaar Hegde,30,M,0
VIC00305,CASE00246,Yuvraj Sha,56,M,0
VIC00306,CASE00246,Kabir Thakkar,33,M,0
VIC00307,CASE00247,Pallavi Bassi,9,F,0
VIC00308,CASE00248,Bhavani Bhardwaj,69,F,0
VIC00309,CASE00249,Nathan Batta,46,M,0
VIC00310,CASE00249,Eesha Chopra,17,T,0
VIC00311,CASE00250,Kamala Mahal,57,F,0
VIC00312,CASE00250,Nakul Dutt,72,M,0
VIC00313,CASE00251,Krishna Din,28,M,0
VIC00314,CASE00252,Chandani Raj,8,F,0
VIC00315,CASE00253,Rushil Bath,58,M,0
VIC00316,CASE00254,Thomas Babu,72,M,0
VIC00317,CASE00255,Gopal Dhaliwal,53,M,0
VIC00318,CASE00256,Jack Memon,68,M,0
VIC00319,CASE00257,Joshua Nayar,20,M,0
VIC00320,CASE00258,Vasudha Krish,32,F,0
VIC00321,CASE00258,Karan Bir,49,M,0
VIC00322,CASE00259,Meghana Shanker,14,F,0
VIC00323,CASE00260,Chanakya Khurana,20,M,0
VIC00324,CASE00261,Jai Hari,42,M,0
VIC00325,CASE00262,Finn Dhawan,72,M,0
VIC00326,CASE00263,Mason Warrior,8,M,0
VIC00327,CASE00263,Mason Zacharia,57,M,0
VIC00328,CASE00264,Chakradev Dhawan,25,M,0
VIC00329,CASE00265,Gaurang Tripathi,69,M,0
VIC00330,CASE00266,Manthan Sridhar,62,M,0
VIC00331,CASE00267,Qasim Chandra,58,M,0
VIC00332,CASE00268,Qarin Nair,9,M,0
VIC00333,CASE00269,Samesh Mandal,73,M,0
VIC00334,CASE00270,Avni Chandran,10,F,0
VIC00335,CASE00270,Gaurika Gandhi,7,F,0
VIC00336,CASE00271,Naveen Dasgupta,55,M,0
VIC00337,CASE00272,Maanav Hegde,10,M,0
VIC00338,CASE00272,Azad Vala,17,M,0
VIC00339,CASE00273,Sarthak Saraf,59,M,0
VIC00340,CASE00274,Dayita Sheth,29,F,0
VIC00341,CASE00275,Patrick Shanker,31,M,0
VIC00342,CASE00276,Ayushman Banerjee,16,M,0
VIC00343,CASE00277,Charles Rastogi,63,M,0
VIC00344,CASE00278,Veer Nayak,32,M,0
VIC00345,CASE00279,Yashawini Shah,32,F,0
VIC00346,CASE00280,Yahvi Dada,50,F,0
VIC00347,CASE00281,Udyati Dua,70,F,0
VIC00348,CASE00282,Viraj Gill,18,M,0
VIC00349,CASE00283,Zayyan Aggarwal,67,M,0
VIC00350,CASE00283,Kiaan Dixit,76,M,0
VIC00351,CASE00284,Udant Naik,72,M,0
VIC00352,CASE00285,Rohan Dixit,10,M,0
VIC00353,CASE00286,Veer Banerjee,75,M,0
VIC00354,CASE00287,Niharika Mand,62,F,0
VIC00355,CASE00288,Ekavir Cheema,35,M,0
VIC00356,CASE00289,Siya Sodhi,75,F,0
VIC00357,CASE00289,Abdul Venkataraman,72,M,0
VIC00358,CASE00290,Girish Nadig,32,M,0
VIC00359,CASE00291,Wyatt Batta,20,M,0
VIC00360,CASE00292,Raghav Vaidya,52,M,0
VIC00361,CASE00293,Charan Rai,7,M,0
VIC00362,CASE00293,Zayan Sanghvi,11,M,0
VIC00363,CASE00294,Zinal Nair,79,T,0
VIC00364,CASE00295,Hamsini Khosla,41,F,0
VIC00365,CASE00296,Waida Acharya,62,F,0
VIC00366,CASE00297,Naksh Karpe,26,M,0
VIC00367,CASE00298,Viraj Lall,78,M,0
VIC00368,CASE00298,Logan Wable,58,M,0
VIC00369,CASE00299,Garima Rama,42,F,0
VIC00370,CASE00299,Chaitaly Savant,63,F,0
VIC00371,CASE00300,Ubika Madan,42,F,0
VIC00372,CASE00301,Frederick Bhagat,51,M,0
VIC00373,CASE00302,Patrick Gara,77,M,0
VIC00374,CASE00302,Yash Butala,47,M,0
VIC00375,CASE00303,Sarthak Bhardwaj,69,M,0
VIC00376,CASE00304,Viraj Nagy,29,M,0
VIC00377,CASE00305,Anjali Pradhan,18,F,0
VIC00378,CASE00306,Ladli Patla,33,F,0
VIC00379,CASE00307,Ishita Sabharwal,60,F,0
VIC00380,CASE00308,Harrison Sarna,12,M,0
VIC00381,CASE00308,Baljiwan Arya,7,M,0
VIC00382,CASE00309,Chandran Yohannan,20,M,0
VIC00383,CASE00309,Nakul Bhagat,58,M,0
VIC00384,CASE00310,Qasim Dutt,27,M,0
VIC00385,CASE00311,Michael Dada,34,M,0
VIC00386,CASE00312,Maanav Varty,51,M,0
VIC00387,CASE00313,Arya Shroff,71,F,0
VIC00388,CASE00314,Udant Grewal,76,M,0
VIC00389,CASE00315,Ria Garde,41,F,0
VIC00390,CASE00316,Kashish Mittal,57,F,0
VIC00391,CASE00317,Bhavya Dalal,77,F,0
VIC00392,CASE00318,Imaran Bera,75,M,0
VIC00393,CASE00318,Eesha Gupta,23,F,0
VIC00394,CASE00319,Jatin Sem,50,M,0
VIC00395,CASE00319,Laksh Rana,23,M,0
VIC00396,CASE00320,Tanveer Sarin,16,M,0
VIC00397,CASE00320,Vanya Murty,53,F,0
VIC00398,CASE00321,Dhruv Iyengar,14,M,0
VIC00399,CASE00321,Janya Kamdar,32,F,0
VIC00400,CASE00322,Viraj Batra,59,M,0
VIC00401,CASE00323,Imaran Borde,23,M,0
VIC00402,CASE00324,Warda Chada,45,F,0
VIC00403,CASE00325,Yasti Kannan,20,F,0
VIC00404,CASE00326,Ekani Gulati,39,F,0
VIC00405,CASE00327,Jason Sharma,35,M,0
VIC00406,CASE00327,Tanay Balasubramanian,44,M,0
VIC00407,CASE00328,Caleb Thakkar,10,M,0
VIC00408,CASE00329,Ishanvi Oak,26,F,0
VIC00409,CASE00330,Abhiram Dhillon,5,M,0
VIC00410,CASE00330,Ishwar Hegde,70,M,0
VIC00411,CASE00331,Wyatt Gupta,54,M,0
VIC00412,CASE00331,Indrajit Narang,12,M,0
VIC00413,CASE00332,Janani Chad,54,F,0
VIC00414,CASE00333,Nathan Sinha,29,M,0
VIC00415,CASE00334,Meghana Kaur,8,F,0
VIC00416,CASE00335,Kamya Dada,53,F,0
VIC00417,CASE00336,Rachit Gera,40,M,0
VIC00418,CASE00337,Umang Shroff,14,M,0
VIC00419,CASE00338,Mason Ramesh,57,M,0
VIC00420,CASE00339,Bina Chaudhry,71,F,0
VIC00421,CASE00340,Harini Mallick,61,F,0
VIC00422,CASE00341,Samarth Merchant,11,M,0
VIC00423,CASE00341,Ekapad Sood,33,M,0
VIC00424,CASE00342,Utkarsh Babu,68,M,0
VIC00425,CASE00343,Raghav Ram,41,M,0
VIC00426,CASE00343,Darsh Ravi,12,M,0
VIC00427,CASE00344,Aahana Kohli,56,F,0
VIC00428,CASE00344,Daniel Hayer,57,M,0
VIC00429,CASE00345,Samarth Goswami,49,M,0
VIC00430,CASE00346,Utkarsh Boase,16,M,0
VIC00431,CASE00347,Abhiram Dey,65,M,0
VIC00432,CASE00347,Meghana Krish,11,F,0
VIC00433,CASE00348,Jairaj Ghosh,13,M,0
VIC00434,CASE00349,Abdul Srinivasan,72,M,0
VIC00435,CASE00350,Pranit Varty,29,M,0
VIC00436,CASE00351,Ethan Wadhwa,34,M,0
VIC00437,CASE00352,Ira Korpal,45,F,0
VIC00438,CASE00353,Faqid Sen,26,M,0
VIC00439,CASE00354,Guneet Jain,56,M,0
VIC00440,CASE00355,Tanay Grover,15,M,0
VIC00441,CASE00356,Wyatt Sidhu,26,M,0
VIC00442,CASE00356,Avi Mitra,15,M,0
VIC00443,CASE00357,George Goel,19,M,0
VIC00444,CASE00358,Nakul Narasimhan,35,M,0
VIC00445,CASE00359,Qadim Kurian,68,M,0
VIC00446,CASE00360,Daniel Babu,29,M,0
VIC00447,CASE00361,Christopher Kar,74,M,0
VIC00448,CASE00362,Nakul Kapadia,80,M,0
VIC00449,CASE00363,Hritik Radhakrishnan,26,M,0
VIC00450,CASE00364,Vivaan Singhal,55,M,0
VIC00451,CASE00365,Utkarsh Kaur,17,M,0
VIC00452,CASE00366,Nitesh Mand,11,M,0
VIC00453,CASE00366,Arjun Dixit,31,M,0
VIC00454,CASE00367,Jeevika Sagar,55,F,0
VIC00455,CASE00368,Agastya Chadha,23,M,0
VIC00456,CASE00368,Avni Khanna,68,F,0
VIC00457,CASE00369,Aadhya Chada,14,F,0
VIC00458,CASE00370,Nandini Bhatti,16,F,0
VIC00459,CASE00371,Urvashi Bir,80,F,0
VIC00460,CASE00371,Ethan Yohannan,28,M,0
VIC00461,CASE00372,Tejas Dugal,38,M,0
VIC00462,CASE00373,Rishi Hegde,74,M,0
VIC00463,CASE00373,Yatin Sengupta,67,M,0
VIC00464,CASE00374,Finn Sawhney,59,M,0
VIC00465,CASE00374,Ojasvi Morar,34,F,0
VIC00466,CASE00375,Bimala More,70,F,0
VIC00467,CASE00376,Ekbal Menon,45,M,0
VIC00468,CASE00377,Onveer Oommen,34,M,0
VIC00469,CASE00377,Bahadurjit Gopal,62,M,0
VIC00470,CASE00378,Neel Vohra,80,M,0
VIC00471,CASE00379,Falan Sunder,20,M,0
VIC00472,CASE00379,Krishna Tandon,12,M,0
VIC00473,CASE00380,Siya Bains,68,F,0
VIC00474,CASE00380,Frado Kara,56,M,0
VIC00475,CASE00381,Ishita Balay,6,F,0
VIC00476,CASE00382,Dalbir Cheema,53,M,0
VIC00477,CASE00383,Krish Mital,26,M,0
VIC00478,CASE00384,Elijah Mammen,49,M,0
VIC00479,CASE00385,Harsh Hora,16,M,0
VIC00480,CASE00386,Ranveer Mangat,51,M,0
VIC00481,CASE00386,Siddharth Sankar,47,M,0
VIC00482,CASE00387,Indali Datta,38,F,0
VIC00483,CASE00387,Max Krish,24,M,0
VIC00484,CASE00388,Wridesh Raman,27,M,0
VIC00485,CASE00389,Ekta Pall,22,F,0
VIC00486,CASE00390,Samesh Shanker,63,M,0
VIC00487,CASE00391,Madhav Oak,73,M,0
VIC00488,CASE00392,Dominic Mittal,74,M,0
VIC00489,CASE00393,Pooja Murthy,7,F,0
VIC00490,CASE00394,Max Mander,9,M,0
VIC00491,CASE00395,Urvashi Setty,34,F,0
VIC00492,CASE00396,Garima Madan,37,F,0
VIC00493,CASE00396,Logan Sarkar,42,M,0
VIC00494,CASE00397,Faris Mukhopadhyay,48,M,0
VIC00495,CASE00398,Darpan Kata,41,M,0
VIC00496,CASE00399,Yatan Sanghvi,74,M,0
VIC00497,CASE00400,Aradhana Sur,9,F,0
VIC00498,CASE00400,Matthew Dar,61,M,0
VIC00499,CASE00401,Akshay Cheema,27,M,0
VIC00500,CASE00402,Radha Sabharwal,56,F,0
VIC00501,CASE00403,Yuvraj Raj,30,M,0
VIC00502,CASE00403,Andrew Shah,28,M,0
VIC00503,CASE00404,Harita Sankar,62,F,0
VIC00504,CASE00405,Karan Parmer,14,M,0
VIC00505,CASE00406,Chaitanya Ahuja,64,M,0
VIC00506,CASE00407,Ayaan Venkataraman,68,M,0
VIC00507,CASE00407,Qarin Sodhi,24,M,0
VIC00508,CASE00408,Thomas Lalla,24,M,0
VIC00509,CASE00408,Eta Pillai,21,F,0
VIC00510,CASE00409,Om Jhaveri,30,M,0
VIC00511,CASE00410,Saumya Das,9,T,0
VIC00512,CASE00410,Ijaya Prabhakar,73,F,0
VIC00513,CASE00411,Manan Shanker,5,M,0
