ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
ARR00183,CASE00476,Arrest,2026-01-13,ST01,DIST0003,UNIT0018,EMP0120,,ACC00879,1,0
ARR00184,CASE00480,Arrest,2026-01-26,ST01,DIST0027,UNIT0165,EMP0037,,ACC00884,1,0
ARR00185,CASE00482,Surrender,2026-06-29,ST01,DIST0005,UNIT0032,EMP0184,,ACC00887,1,0
ARR00186,CASE00483,Arrest,2025-11-21,ST01,DIST0020,UNIT0122,EMP0019,,ACC00888,1,0
ARR00187,CASE00486,Arrest,2025-09-19,ST01,DIST0003,UNIT0014,EMP0051,,ACC00894,1,0
ARR00188,CASE00489,Surrender,2025-09-21,ST01,DIST0025,UNIT0155,EMP0175,,ACC00900,1,0
ARR00189,CASE00491,Arrest,2026-05-10,ST01,DIST0003,UNIT0013,EMP0104,,ACC00904,1,0
ARR00190,CASE00495,Surrender,2025-12-13,ST01,DIST0003,UNIT0014,EMP0052,,ACC00908,1,0
ARR00191,CASE00497,Surrender,2025-12-12,ST01,DIST0029,UNIT0176,EMP0192,,ACC00910,1,0
ARR00192,CASE00498,Arrest,2026-04-22,ST01,DIST0007,UNIT0042,EMP0048,,ACC00913,1,0
ARR00193,CASE00500,Surrender,2026-06-10,ST01,DIST0014,UNIT0087,EMP0118,,ACC00916,1,0
ARR00194,CASE00505,Surrender,2026-01-14,ST01,DIST0022,UNIT0133,EMP0199,,ACC00923,1,0
ARR00195,CASE00510,Surrender,2025-10-29,ST01,DIST0011,UNIT0071,EMP0027,,ACC00932,1,0
ARR00196,CASE00512,Arrest,2025-10-31,ST01,DIST0010,UNIT0067,EMP0211,,ACC00936,1,0
ARR00197,CASE00513,Arrest,2025-10-14,ST01,DIST0005,UNIT0026,EMP0071,,ACC00937,1,0
ARR00198,CASE00515,Arrest,2025-12-29,ST01,DIST0005,UNIT0032,EMP0184,,ACC00942,1,0
ARR00199,CASE00517,Surrender,2026-06-09,ST01,DIST0006,UNIT0034,EMP0169,,ACC00946,1,0
ARR00200,CASE00518,Arrest,2025-11-14,ST01,DIST0005,UNIT0031,EMP0062,,ACC00950,1,0
ARR00201,CASE00521,Arrest,2026-07-21,ST01,DIST0016,UNIT0097,EMP0068,,ACC00955,1,0
ARR00202,CASE00522,Arrest,2025-07-24,ST01,DIST0013,UNIT0084,EMP0257,,ACC00957,1,0
ARR00203,CASE00526,Arrest,2025-10-16,ST01,DIST0003,UNIT0014,EMP0052,,ACC00965,1,0
ARR00204,CASE00528,Surrender,2025-11-05,ST01,DIST0005,UNIT0029,EMP0153,,ACC00967,1,0
ARR00205,CASE00529,Surrender,2026-04-07,ST01,DIST0005,UNIT0031,EMP0122,,ACC00970,1,0
ARR00206,CASE00534,Arrest,2025-12-01,ST01,DIST0011,UNIT0071,EMP0115,,ACC00980,1,0
ARR00207,CASE00536,Arrest,2026-05-10,ST01,DIST0013,UNIT0080,EMP0006,,ACC00982,1,0
ARR00208,CASE00539,Arrest,2026-02-06,ST01,DIST0003,UNIT0019,EMP0077,,ACC00988,1,0
ARR00209,CASE00542,Arrest,2025-12-20,ST01,DIST0003,UNIT0017,EMP0185,,ACC00996,1,0
ARR00210,CASE00544,Surrender,2026-06-19,ST01,DIST0011,UNIT0070,EMP0023,,ACC00998,1,0
ARR00211,CASE00546,Arrest,2026-02-17,ST01,DIST0005,UNIT0028,EMP0093,,ACC01001,1,0
ARR00212,CASE00550,Surrender,2026-05-22,ST01,DIST0022,UNIT0133,EMP0199,,ACC01012,1,0
ARR00213,CASE00551,Surrender,2026-03-28,ST01,DIST0013,UNIT0082,EMP0069,,ACC01013,1,0
ARR00214,CASE00552,Surrender,2025-11-26,ST01,DIST0006,UNIT0033,EMP0220,,ACC01014,1,0
ARR00215,CASE00567,Arrest,2025-11-02,ST01,DIST0003,UNIT0015,EMP0136,,ACC01039,1,0
ARR00216,CASE00571,Arrest,2026-04-12,ST01,DIST0012,UNIT0073,EMP0162,,ACC01045,1,0
ARR00217,CASE00572,Surrender,2025-12-12,ST01,DIST0013,UNIT0084,EMP0257,,ACC01047,1,0
ARR00218,CASE00573,Surrender,2026-07-05,ST01,DIST0029,UNIT0179,EMP0053,,ACC01049,1,0
ARR00219,CASE00577,Surrender,2026-04-16,ST01,DIST0003,UNIT0015,EMP0222,,ACC01055,1,0
ARR00220,CASE00578,Arrest,2026-06-25,ST01,DIST0005,UNIT0032,EMP0184,,ACC01056,1,0
ARR00221,CASE00579,Arrest,2025-12-13,ST01,DIST0022,UNIT0135,EMP0253,,ACC01058,1,0
ARR00222,CASE00580,Surrender,2025-10-20,ST01,DIST0003,UNIT0017,EMP0185,,ACC01060,1,0
ARR00223,CASE00581,Surrender,2025-10-29,ST01,DIST0012,UNIT0074,EMP0242,,ACC01062,1,0
ARR00224,CASE00582,Surrender,2026-04-18,ST01,DIST0013,UNIT0080,EMP0006,,ACC01064,1,0
ARR00225,CASE00583,Surrender,2025-10-27,ST01,DIST0013,UNIT0081,EMP0209,,ACC01065,1,0
ARR00226,CASE00584,Surrender,2026-08-21,ST01,DIST0004,UNIT0020,EMP0204,,ACC01068,1,0
ARR00227,CASE00585,Surrender,2025-10-21,ST01,DIST0013,UNIT0083,EMP0156,,ACC01070,1,0
ARR00228,CASE00589,Arrest,2026-07-01,ST01,DIST0005,UNIT0028,EMP0093,,ACC01079,1,0
ARR00229,CASE00592,Arrest,2025-11-22,ST01,DIST0003,UNIT0019,EMP0077,,ACC01085,1,0
ARR00230,CASE00593,Arrest,2026-05-15,ST01,DIST0012,UNIT0072,EMP0260,,ACC01086,1,0
ARR00231,CASE00595,Surrender,2026-01-14,ST01,DIST0028,UNIT0171,EMP0214,,ACC01090,1,0
ARR00232,CASE00596,Surrender,2026-05-28,ST01,DIST0013,UNIT0080,EMP0006,,ACC01092,1,0
ARR00233,CASE00598,Arrest,2026-01-02,ST01,DIST0005,UNIT0029,EMP0213,,ACC01096,1,0
ARR00234,CASE00599,Surrender,2026-02-17,ST01,DIST0003,UNIT0014,EMP0051,,ACC01098,1,0
ARR00235,CASE00605,Surrender,2025-12-06,ST01,DIST0003,UNIT0019,EMP0077,,ACC01111,1,0
ARR00236,CASE00606,Arrest,2026-08-28,ST01,DIST0013,UNIT0079,EMP0064,,ACC01112,1,0
ARR00237,CASE00607,Surrender,2025-12-28,ST01,DIST0011,UNIT0069,EMP0127,,ACC01114,1,0
