AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,PersonKey
ACC00150,CASE00081,Reva Kumar,49,F,A3,PER00131
ACC00151,CASE00082,Neha Narang,63,F,A1,PER00132
ACC00152,CASE00082,Tanveer Dhaliwal,46,M,A2,PER00133
ACC00153,CASE00083,Avi Pandey,43,M,A1,PER00134
ACC00154,CASE00083,Ekavir Pradhan,53,M,A2,PER00135
ACC00155,CASE00084,Avi Pandey,43,M,A1,PER00134
ACC00156,CASE00085,Farhan Oommen,24,M,A1,PER00136
ACC00157,CASE00085,Tarak Sawhney,42,M,A2,PER00137
ACC00158,CASE00086,Owen Anne,23,M,A1,PER00138
ACC00159,CASE00087,Laban Koshy,50,M,A1,PER00139
ACC00160,CASE00087,Hritik Rajagopalan,35,M,A2,PER00140
ACC00161,CASE00088,Onkar Dyal,59,M,A1,PER00141
ACC00162,CASE00088,Upkaar Dhawan,49,M,A2,PER00039
ACC00163,CASE00089,Bhanumati Sani,41,F,A1,PER00142
ACC00164,CASE00089,Shaurya Dayal,55,M,A2,PER00143
ACC00165,CASE00090,Veer Nanda,36,M,A1,PER00144
ACC00166,CASE00090,Mason Dora,48,M,A2,PER00145
ACC00167,CASE00091,Geetika Rau,37,F,A1,PER00146
ACC00168,CASE00091,Jagdish Anand,58,M,A2,PER00147
ACC00169,CASE00091,Dalbir Dugar,64,M,A3,PER00148
ACC00170,CASE00092,Kashish Salvi,53,F,A1,PER00149
ACC00171,CASE00092,Ojas Ghose,33,M,A2,PER00150
ACC00172,CASE00093,Warjas Banerjee,56,M,A1,PER00106
ACC00173,CASE00093,Avni Padmanabhan,20,T,A2,PER00151
ACC00174,CASE00094,Hredhaan Sha,17,M,A1,PER00152
ACC00175,CASE00094,Chatura Shroff,54,M,A2,PER00153
ACC00176,CASE00095,Ishaan Nori,32,M,A1,PER00154
ACC00177,CASE00095,Shaurya Nigam,52,M,A2,PER00155
ACC00178,CASE00096,Darsh Kapur,48,M,A1,PER00156
ACC00179,CASE00096,Abhiram Vyas,48,M,A2,PER00157
ACC00180,CASE00097,Daniel Yohannan,45,M,A1,PER00119
ACC00181,CASE00097,Xavier Bhalla,56,M,A2,PER00158
ACC00182,CASE00098,Zaid Goel,50,M,A1,PER00159
ACC00183,CASE00098,Samar Mammen,40,M,A2,PER00160
ACC00184,CASE00099,Rudra Garg,32,M,A1,PER00161
ACC00185,CASE00099,Nitesh Sridhar,54,M,A2,PER00162
ACC00186,CASE00100,Ikbal Bumb,41,M,A1,PER00163
ACC00187,CASE00101,Kai Kapoor,18,M,A1,PER00164
ACC00188,CASE00102,Ira Chatterjee,18,F,A1,PER00165
ACC00189,CASE00103,Wahab Ramakrishnan,19,M,A1,PER00166
ACC00190,CASE00103,Hritik Rajagopalan,35,M,A2,PER00140
ACC00191,CASE00104,Agastya Deshpande,49,M,A1,PER00167
ACC00192,CASE00104,Nimrat Acharya,35,F,A2,PER00057
ACC00193,CASE00105,Aadi Sastry,28,M,A1,PER00168
ACC00194,CASE00105,Varsha Prakash,37,F,A2,PER00169
ACC00195,CASE00105,Chaitanya Borra,50,M,A3,PER00170
ACC00196,CASE00106,Neel Bahri,46,M,A1,PER00171
ACC00197,CASE00106,Vidhi Gara,22,F,A2,PER00172
ACC00198,CASE00106,Karan Basu,31,M,A3,PER00173
ACC00199,CASE00107,Jackson Sankaran,39,M,A1,PER00115
ACC00200,CASE00108,Falan Sarraf,50,M,A1,PER00055
ACC00201,CASE00109,Krishna Ratta,41,M,A1,PER00174
ACC00202,CASE00109,Chatura Shroff,55,M,A2,PER00153
ACC00203,CASE00110,Chaitaly Kaur,60,F,A1,PER00092
ACC00204,CASE00111,Qabil Koshy,47,M,A1,PER00067
ACC00205,CASE00111,Dhriti Magar,58,F,A2,PER00175
ACC00206,CASE00112,Isaiah Kapur,48,M,A1,PER00176
ACC00207,CASE00112,Vansha Som,17,F,A2,PER00177
ACC00208,CASE00113,Wriddhish Nadig,57,M,A1,PER00178
ACC00209,CASE00114,Nitesh Sridhar,54,M,A1,PER00162
ACC00210,CASE00115,Theodore Hayre,19,M,A1,PER00179
ACC00211,CASE00115,Pallavi Trivedi,35,F,A2,PER00180
ACC00212,CASE00116,Chatura Shroff,54,M,A1,PER00153
ACC00213,CASE00116,Abhiram Kohli,37,M,A2,PER00181
ACC00214,CASE00117,Reva Chowdhury,39,F,A1,PER00182
ACC00215,CASE00117,Janani Borde,40,F,A2,PER00183
ACC00216,CASE00118,Aadi Oak,36,M,A1,PER00184
ACC00217,CASE00119,Joshua Vaidya,46,M,A1,PER00185
ACC00218,CASE00119,Indrajit Butala,60,M,A2,PER00109
ACC00219,CASE00120,Vivaan Bhatia,54,M,A1,PER00186
ACC00220,CASE00121,Jeremiah Prashad,56,M,A1,PER00187
ACC00221,CASE00122,Brijesh Dara,47,M,A1,PER00188
ACC00222,CASE00122,Irya Anand,35,F,A2,PER00189
ACC00223,CASE00123,Chanchal Sandal,39,F,A1,PER00190
ACC00224,CASE00123,Tarak Baria,36,M,A2,PER00191
ACC00225,CASE00123,Mohini Acharya,30,F,A3,PER00192
ACC00226,CASE00124,Jacob Dash,21,M,A1,PER00193
ACC00227,CASE00124,Harsh Chahal,62,M,A2,PER00194
ACC00228,CASE00124,Teerth Kakar,60,M,A3,PER00195
ACC00229,CASE00125,Chanchal Sandal,39,F,A1,PER00190
ACC00230,CASE00125,Harish Naidu,21,M,A2,PER00196
ACC00231,CASE00125,Om Sidhu,61,M,A3,PER00197
ACC00232,CASE00126,Saksham Panchal,25,M,A1,PER00198
ACC00233,CASE00126,Mohammed Setty,26,M,A2,PER00199
ACC00234,CASE00127,Onveer Dasgupta,50,M,A1,PER00200
ACC00235,CASE00127,Wriddhish Lad,51,M,A2,PER00201
ACC00236,CASE00128,Harshil Sahni,36,M,A1,PER00202
ACC00237,CASE00128,William Raval,35,M,A2,PER00203
ACC00238,CASE00129,Oliver Rajagopalan,61,M,A1,PER00204
ACC00239,CASE00130,Yagnesh Batra,37,M,A1,PER00030
ACC00240,CASE00130,Rishi Ganesh,44,M,A2,PER00205
ACC00241,CASE00131,Samaksh Trivedi,25,M,A1,PER00014
ACC00242,CASE00132,Viraj Tailor,44,M,A1,PER00206
ACC00243,CASE00132,Laban Devi,30,M,A2,PER00207
ACC00244,CASE00133,Charles Krishnamurthy,25,M,A1,PER00208
ACC00245,CASE00133,Harinakshi Cherian,62,F,A2,PER00209
ACC00246,CASE00134,William Raval,36,M,A1,PER00203
ACC00247,CASE00134,Kashish Salvi,54,F,A2,PER00149
ACC00248,CASE00135,Dakshesh Bhat,54,M,A1,PER00210
ACC00249,CASE00135,Timothy Maharaj,47,M,A2,PER00211
ACC00250,CASE00135,Nachiket Guha,28,M,A3,PER00212
ACC00251,CASE00136,Luke Karan,20,M,A1,PER00213
ACC00252,CASE00137,Veer Suresh,54,M,A1,PER00214
ACC00253,CASE00138,Aarush Srivastava,46,M,A1,PER00215
ACC00254,CASE00139,Aarush Joshi,51,M,A1,PER00216
ACC00255,CASE00139,Oliver Rajagopalan,61,M,A2,PER00204
ACC00256,CASE00139,Ikbal Bir,16,M,A3,PER00217
ACC00257,CASE00140,Dakshesh Bhalla,36,M,A1,PER00218
ACC00258,CASE00140,Nathan Mitra,23,M,A2,PER00219
ACC00259,CASE00141,Anirudh Behl,58,M,A1,PER00220
ACC00260,CASE00141,Yug Dugal,30,M,A2,PER00221
ACC00261,CASE00142,Tanvi Om,19,F,A1,PER00222
ACC00262,CASE00142,Mason Dora,48,M,A2,PER00145
ACC00263,CASE00143,Victor Sengupta,34,M,A1,PER00223
ACC00264,CASE00143,Yatin Sarin,21,M,A2,PER00224
ACC00265,CASE00144,Rayaan Sengupta,26,M,A1,PER00225
ACC00266,CASE00144,Harrison Golla,20,M,A2,PER00226
ACC00267,CASE00145,Krishna Issac,24,F,A1,PER00227
ACC00268,CASE00145,Girish Bhatnagar,40,M,A2,PER00228
ACC00269,CASE00146,Lakshmi Balakrishnan,19,F,A1,PER00229
ACC00270,CASE00146,Viraj Bandi,17,M,A2,PER00230
ACC00271,CASE00147,Tarak Sawhney,43,M,A1,PER00137
ACC00272,CASE00148,Ekavir Parekh,30,M,A1,PER00231
ACC00273,CASE00148,Tarak Andra,37,M,A2,PER00232
ACC00274,CASE00149,Sai Buch,28,M,A1,PER00022
ACC00275,CASE00150,Thomas Barad,57,M,A1,PER00233
ACC00276,CASE00150,Zashil Suri,48,M,A2,PER00234
ACC00277,CASE00150,Hredhaan Ramachandran,64,M,A3,PER00235
ACC00278,CASE00151,Victor Seth,44,M,A1,PER00236
ACC00279,CASE00151,Yamini Sridhar,39,F,A2,PER00237
ACC00280,CASE00151,Triya Chandra,37,F,A3,PER00238
ACC00281,CASE00152,Samesh Dhingra,49,M,A1,PER00239
ACC00282,CASE00152,Advika Hayre,19,F,A2,PER00240
ACC00283,CASE00152,Rishi Master,63,M,A3,PER00241
ACC00284,CASE00153,Oliver Bhakta,58,M,A1,PER00242
ACC00285,CASE00153,Edhitha Dutt,20,F,A2,PER00243
ACC00286,CASE00153,Rohan Padmanabhan,50,M,A3,PER00244
ACC00287,CASE00154,Megha Seshadri,44,F,A1,PER00245
ACC00288,CASE00155,Vrinda Aggarwal,64,F,A1,PER00246
ACC00289,CASE00156,Warda Gandhi,32,F,A1,PER00247
ACC00290,CASE00156,Yashasvi Srinivasan,33,F,A2,PER00248
ACC00291,CASE00156,Amol Kale,47,M,A3,PER00249
ACC00292,CASE00157,Gautam Comar,49,M,A1,PER00250
ACC00293,CASE00158,Vivaan Bhatia,54,M,A1,PER00186
ACC00294,CASE00159,Finn Nagi,64,M,A1,PER00251
ACC00295,CASE00160,Jatin Khatri,21,M,A1,PER00252
ACC00296,CASE00160,Reyansh Srinivas,47,M,A2,PER00253
ACC00297,CASE00161,Oliver Bhakta,59,M,A1,PER00242
ACC00298,CASE00161,Raagini Ahluwalia,17,F,A2,PER00254
ACC00299,CASE00161,Daksh Jha,62,M,A3,PER00255
ACC00300,CASE00162,Girindra Raghavan,22,M,A1,PER00256
ACC00301,CASE00162,Jeremiah Sen,39,M,A2,PER00257
ACC00302,CASE00162,George Srinivas,43,M,A3,PER00258
ACC00303,CASE00163,Dominic Nagarajan,39,M,A1,PER00259
ACC00304,CASE00163,Rudra Garg,32,M,A2,PER00161
ACC00305,CASE00164,Jagdish Sane,58,M,A1,PER00260
ACC00306,CASE00164,Advaith Ramachandran,41,M,A2,PER00261
ACC00307,CASE00165,Warinder Madan,52,M,A1,PER00262
ACC00308,CASE00166,Jonathan Rattan,31,M,A1,PER00263
ACC00309,CASE00167,Edhitha Dutt,21,F,A1,PER00243
ACC00310,CASE00167,Nitesh Sridhar,55,M,A2,PER00162
ACC00311,CASE00167,Anirudh Behl,58,M,A3,PER00220
ACC00312,CASE00168,Aadi Sastry,28,M,A1,PER00168
ACC00313,CASE00168,Ayaan Kadakia,18,M,A2,PER00264
ACC00314,CASE00168,Hemang Khatri,24,M,A3,PER00265
ACC00315,CASE00169,Dev Sanghvi,41,M,A1,PER00266
ACC00316,CASE00169,Isaiah Kapur,49,M,A2,PER00176
ACC00317,CASE00170,Aarav Das,44,M,A1,PER00267
ACC00318,CASE00171,Fariq Ahuja,62,M,A1,PER00268
ACC00319,CASE00172,Advik Gade,38,M,A1,PER00269
ACC00320,CASE00172,Victor Iyengar,61,M,A2,PER00270
ACC00321,CASE00172,Neel Bahri,47,M,A3,PER00171
ACC00322,CASE00173,Ojas Ghose,34,M,A1,PER00150
ACC00323,CASE00173,Yagnesh Deol,37,M,A2,PER00271
ACC00324,CASE00174,Yug Sule,47,M,A1,PER00272
ACC00325,CASE00174,Omkaar Singh,23,M,A2,PER00273
ACC00326,CASE00175,Ekansh Guha,59,M,A1,PER00274
ACC00327,CASE00176,Shaurya Banerjee,21,M,A1,PER00069
ACC00328,CASE00176,Matthew Sarma,17,M,A2,PER00275
ACC00329,CASE00176,Hardik Khurana,42,M,A3,PER00276
ACC00330,CASE00177,Bahadurjit Choudhry,31,M,A1,PER00277
ACC00331,CASE00177,Faras Murthy,40,M,A2,PER00278
ACC00332,CASE00178,Yashawini Doctor,59,F,A1,PER00279
ACC00333,CASE00178,Jason Korpal,22,M,A2,PER00280
ACC00334,CASE00179,Aarnav Thaman,36,M,A1,PER00281
ACC00335,CASE00179,Imaran Tandon,50,M,A2,PER00282
ACC00336,CASE00179,Manbir Dani,35,M,A3,PER00283
ACC00337,CASE00180,Gaurang Gokhale,39,M,A1,PER00284
ACC00338,CASE00180,Onveer Ray,58,M,A2,PER00285
ACC00339,CASE00181,Aadi Nair,29,M,A1,PER00286
ACC00340,CASE00181,Aryan Mahal,37,M,A2,PER00074
ACC00341,CASE00181,Anay Johal,48,M,A3,PER00287
ACC00342,CASE00182,Quincy Sura,33,M,A1,PER00288
ACC00343,CASE00183,Vedant Khanna,42,M,A1,PER00118
ACC00344,CASE00183,Vaishnavi Doshi,52,F,A2,PER00289
ACC00345,CASE00184,Ekapad Bhatia,47,M,A1,PER00290
ACC00346,CASE00184,Christopher Bhakta,58,M,A2,PER00291
ACC00347,CASE00185,Zaid Andra,16,M,A1,PER00292
ACC00348,CASE00185,Nachiket Patla,50,M,A2,PER00293
ACC00349,CASE00185,Ekaraj Samra,55,M,A3,PER00294
ACC00350,CASE00186,Indrajit Kalita,36,M,A1,PER00295
ACC00351,CASE00186,Alexander Ramanathan,61,M,A2,PER00296
ACC00352,CASE00186,Ishanvi Cheema,37,F,A3,PER00297
ACC00353,CASE00187,Samarth Bath,47,M,A1,PER00298
ACC00354,CASE00187,Tarak Sawhney,42,M,A2,PER00137
ACC00355,CASE00187,Nathan Mitra,23,M,A3,PER00219
ACC00356,CASE00188,Anika Parmar,33,F,A1,PER00299
ACC00357,CASE00189,Zinal Salvi,53,F,A1,PER00300
ACC00358,CASE00190,Vinaya Bose,48,F,A1,PER00301
ACC00359,CASE00190,Nathaniel Krishnan,44,M,A2,PER00302
ACC00360,CASE00190,Wyatt Pandey,48,M,A3,PER00303
ACC00361,CASE00191,Thomas Manne,34,M,A1,PER00304
ACC00362,CASE00192,Pooja Rama,22,F,A1,PER00305
ACC00363,CASE00192,Balendra Saran,16,M,A2,PER00306
ACC00364,CASE00193,Amruta Ganguly,38,F,A1,PER00307
ACC00365,CASE00193,Advika Mital,42,F,A2,PER00308
ACC00366,CASE00193,Azaan Dayal,24,M,A3,PER00309
ACC00367,CASE00194,Farhan Oommen,24,M,A1,PER00136
ACC00368,CASE00194,Jeevika Patil,20,F,A2,PER00310
ACC00369,CASE00195,Jairaj Rege,21,M,A1,PER00311
ACC00370,CASE00196,Janani Borde,41,F,A1,PER00183
ACC00371,CASE00196,Elijah Sahota,64,M,A2,PER00312
ACC00372,CASE00196,Ayaan Dasgupta,61,M,A3,PER00313
ACC00373,CASE00197,Chaitaly Nayak,33,F,A1,PER00314
ACC00374,CASE00197,Udant Bhatt,26,M,A2,PER00111
ACC00375,CASE00198,Isha Varma,51,F,A1,PER00315
ACC00376,CASE00198,Xavier Behl,46,M,A2,PER00316
ACC00377,CASE00199,Kavya Lal,25,F,A1,PER00317
ACC00378,CASE00199,Bhanumati Sani,42,F,A2,PER00142
ACC00379,CASE00199,Anay Johal,49,M,A3,PER00287
ACC00380,CASE00200,Ekiya Nayak,52,F,A1,PER00318
ACC00381,CASE00201,Viraj Ahuja,21,M,A1,PER00319
ACC00382,CASE00201,Omisha Boase,25,F,A2,PER00320
ACC00383,CASE00202,Advik Venkatesh,60,M,A1,PER00321
ACC00384,CASE00203,David Pall,50,M,A1,PER00322
ACC00385,CASE00204,Jeremiah Bir,26,M,A1,PER00099
ACC00386,CASE00204,Karan Sahota,60,M,A2,PER00323
ACC00387,CASE00204,Fiyaz Bora,16,M,A3,PER00324
ACC00388,CASE00205,Wridesh Lala,57,M,A1,PER00325
ACC00389,CASE00206,David Nagar,58,M,A1,PER00078
ACC00390,CASE00207,Gautam Sinha,31,M,A1,PER00326
ACC00391,CASE00208,Faras Bassi,24,M,A1,PER00327
ACC00392,CASE00208,Joshua Vaidya,46,M,A2,PER00185
ACC00393,CASE00209,Champak Oza,16,M,A1,PER00328
ACC00394,CASE00209,Aarnav Jhaveri,36,M,A2,PER00329
ACC00395,CASE00210,Raagini Ahluwalia,17,F,A1,PER00254
ACC00396,CASE00211,Krisha Goda,16,F,A1,PER00330
ACC00397,CASE00212,Chanakya Kale,45,M,A1,PER00331
ACC00398,CASE00213,Vincent Kalla,57,M,A1,PER00332
ACC00399,CASE00214,Zehaan Gopal,29,M,A1,PER00333
ACC00400,CASE00214,Devansh Ravel,18,M,A2,PER00334
ACC00401,CASE00215,Vincent Mani,40,M,A1,PER00335
ACC00402,CASE00215,Jairaj Lanka,17,M,A2,PER00336
ACC00403,CASE00215,Vivaan Thaman,61,M,A3,PER00337
ACC00404,CASE00216,Vasana Chada,47,F,A1,PER00338
ACC00405,CASE00216,Alexander Dutt,58,M,A2,PER00086
ACC00406,CASE00217,Vihaan Apte,35,M,A1,PER00339
ACC00407,CASE00217,Ansh Mohan,25,M,A2,PER00340
ACC00408,CASE00218,Quincy Panchal,24,M,A1,PER00341
ACC00409,CASE00219,Raghav Om,41,M,A1,PER00342
ACC00410,CASE00220,Bhavya Sabharwal,47,F,A1,PER00093
ACC00411,CASE00221,Rehaan Memon,62,M,A1,PER00343
ACC00412,CASE00221,Warinder Bhargava,17,M,A2,PER00344
ACC00413,CASE00221,Robert Kulkarni,44,M,A3,PER00345
ACC00414,CASE00222,Nakul Doshi,17,M,A1,PER00346
ACC00415,CASE00222,Luke Mangat,57,M,A2,PER00347
ACC00416,CASE00223,Samuel Gopal,24,M,A1,PER00348
ACC00417,CASE00223,Jai Shetty,45,M,A2,PER00349
ACC00418,CASE00224,Owen Varughese,17,M,A1,PER00350
ACC00419,CASE00224,Dhruv Ray,33,M,A2,PER00351
